phrase;rel_page;2018-11-09;2018-11-10;2018-11-11;2018-11-12;2018-11-13;2018-11-14;2018-11-15;2018-11-16;2018-11-17;2018-11-18;2018-11-19;2018-11-20;2018-11-21;2018-11-22;2018-11-23
альгинатная маска для лица купить интернет магазин;https://da-vita.ru/catalog/alginatnie.html;39;38;37;44;43;46;41;48;46;47;41;40;47;46;45
альгинатная маска для лица купить цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
альгинатная маска на сколько наносить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
анти акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастной крем 60;https://da-vita.ru/catalog/antivozrastnie-kremi-60-let.html;14;14;14;14;14;17;11;14;15;14;14;14;13;15;15
антивозрастной крем premier;https://da-vita.ru/catalog/antivozrastnaya-kosmetik_premier.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
антивозрастной крем для век;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастной крем для кожи вокруг глаз купить;https://da-vita.ru/catalog/antivozrastnie-kremi-dlya-glaz.html;13;21;15;8;7;9;8;9;5;12;12;20;5;4;11
антивозрастной крем для лица с какого возраста;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастной крем на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;2;2;3;2;3;1;2;2;3;3;3;2;2;3;2
антивозрастной крем после 30 лет купить;https://da-vita.ru/catalog/antivozrastnie-kremi-30-let.html;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2
антивозрастной крем после 35 купить;https://da-vita.ru/catalog/antivozrastnie-kremi-35-let.html;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
антивозрастной крем после 40 купить;https://da-vita.ru/catalog/antivozrastnie-kremi.html;1;1;1;1;1;1;1;1;1;3;1;1;2;2;2
антивозрастной крем с какого возраста;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;15;16;20;24;20;29;28;17;17;18;16;17;15;14;14
антивозрастной крем с какого возраста можно пользоваться;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;61;66;64;65;65;79;65;63;66;66;67;67;65;65;64
антивозрастной тональный крем купить;https://da-vita.ru/catalog/antivozrastnie-tonalnie-kremi.html;11;11;11;43;12;12;21;12;12;12;11;14;13;12;20
антивозрастной увлажняющий тональный крем;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастные кремы для лица после 60 лет;https://da-vita.ru/catalog/antivozrastnie-kremi-60-let.html;28;31;29;26;27;28;51;29;32;34;44;39;37;30;26
антиоксиданты в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;3;5;3;3;4;4;4;4;4;5;4;5;4;4;4
антиоксиданты в косметике это;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;2;2;2;3;2;3;2;4;3;4;3;3;4;3;3
антиоксиданты что это в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;2;2;2;2;2;2;3;2;2;3;2;2;3;3;4
антиоксиданты что это такое простыми словами;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антицеллюлитное масло купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антицеллюлитные средства купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
ахава израильская косметика;https://da-vita.ru/catalog/ahava.html;9;6;7;6;4;4;4;4;4;4;3;3;3;3;3
ахава израильская косметика каталог;https://da-vita.ru/catalog/ahava.html;8;8;8;7;8;6;6;7;6;6;6;6;6;5;6
бальзам для губ с алоэ вера;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
бальзам кондиционер для вьющихся волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
бб крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
безсульфатные шампуни для волос купить;https://da-vita.ru/catalog/bezsul-fatnie-shampuni.html;18;18;18;18;19;33;19;19;19;22;20;18;19;20;20
безсульфатные шампуни для волос с кератином;https://da-vita.ru/catalog/bezsulfatnie-shampuni-s-keratinom.html;30;29;25;25;26;31;32;32;33;34;28;31;24;28;30
безсульфатные шампуни для волос цена;https://da-vita.ru/catalog/bezsul-fatnie-shampuni.html;18;18;19;20;18;18;18;18;22;22;31;21;23;28;20
безсульфатные шампуни для кудрявых волос купить;https://da-vita.ru/catalog/bezsul-fatnie-shampuni-d.html;7;9;9;18;9;9;9;17;11;11;9;6;5;9;18
безсульфатные шампуни для окрашенных волос купить;https://da-vita.ru/catalog/bezsulfatnie-shampuni-dlya-okrashennih-volos.html;10;10;13;12;12;13;13;21;13;21;11;11;9;11;11
безсульфатные шампуни для сухих волос купить;https://da-vita.ru/catalog/bezsulfatnie-shampuni-dlya-suhih-volos.html;13;12;16;19;15;15;15;20;31;17;15;15;16;16;19
безсульфатный шампунь для вьющихся волос;https://da-vita.ru/catalog/bezsul-fatnie-shampuni-d.html;25;26;28;28;28;29;29;29;30;35;30;29;29;30;29
благотворный дневной крем от морщин;https://da-vita.ru/catalog/krem-ot-morshchin-dnevnoi.html;78;78;75;75;73;78;76;78;83;80;81;85;82;81;81
борьба с акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
бюджетные крема против пигментных пятен на весну;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето для жирной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето для комбинированной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вв лучшие крема на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
витамин е крем цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
витаминные маски купить;https://da-vita.ru/catalog/vitaminnie.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
влияние соли мертвого моря на кожу лица;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;2;2;2;2;3;2;2;2;3;3;3;2;2;2;2
восстанавливающие маски для рук купить;https://da-vita.ru/catalog/maski-dlya-vosstanovleniya-potreskavsheisya-koji-ruk.html;15;19;19;17;16;17;18;33;20;18;16;16;16;25;17
восстанавливающий крем для рук купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
где купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;8;8;8;8;8;8;8;20;8;8;8;15;13;8
где купить израильскую косметику;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;4;5;5;4;5;5;5;5;5;6;3;5;4;5;4
где купить косметику ahava;https://da-vita.ru/catalog/ahava.html;5;5;4;4;5;5;7;5;4;4;3;3;3;2;2
где купить соль мертвого моря;https://da-vita.ru/catalog/sol-mertvogo-morya.html;9;8;8;7;7;7;7;7;7;12;12;7;7;7;7
где можно купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;8;8;8;8;8;8;8;8;7;7;8;8;8;8
где можно купить крем для лица;https://da-vita.ru/catalog/lico.html;64;67;71;66;67;67;67;67;101;68;66;67;67;66;69
гели premier;https://da-vita.ru/catalog/premier.html;7;3;3;3;3;2;3;3;4;4;3;2;3;2;2
гель для глаз с черной икрой купить;https://da-vita.ru/catalog/geli-i-kremi-dlya-glaz-s-chernoi-ikroi.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
гель для душа health beauty;https://da-vita.ru/catalog/dlya_volos_man/shampoo_gel_man.html;84;37;48;45;45;49;46;34;51;52;42;52;42;41;40
гель для душа для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа для мужчин цена;-;85;85;51;50;74;53;54;87;50;92;92;91;100;101;101
гель для душа купить оптом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа мужской цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа от прыщей на теле купить;https://da-vita.ru/catalog/gel-dlya-dusha-ot-prishchei-na-tele.html;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2
гель для душа с аргановым маслом;https://da-vita.ru/catalog/geli-s-arganovim-maslom.html;12;11;11;9;9;9;16;12;9;10;9;8;8;8;31
гель для душа с аргановым маслом купить;https://da-vita.ru/catalog/geli-s-arganovim-maslom.html;4;5;7;7;6;4;6;6;5;6;5;5;4;5;4
гель для душа цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель масло для душа купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель на основе грязи мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;35;27;35;32;35;37;32;40;33;33;38;39;31;31;36
гель на основе грязи мертвого моря купить;https://da-vita.ru/catalog/bio-mud---liniya-na-osnove-gryazi-mertvogo-morya.html;20;22;25;22;24;26;20;33;24;29;22;23;23;21;24
гель скраб для душа;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гель скраб для душа купить;https://da-vita.ru/catalog/gel-skrab-dlya-dusha.html;6;7;7;7;7;7;7;7;6;7;6;12;6;7;7
гиалуроновая кислота сыворотка купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гиалуроновая сыворотка купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
гиалуроновая сыворотка цена;-;101;101;98;98;98;81;79;83;101;101;101;101;101;101;101
грязевая маска ahava;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;19;19;25;19;19;20;32;19;21;39;17;19;18;18;19
грязевая маска sea of spa;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/mineralnaya_gryazevaya_maska_dlya_lica_s_olivkovim_maslom_bio_spa.html;13;13;19;17;18;18;17;17;19;20;15;17;15;16;16
грязевая маска для волос;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos.html;72;72;71;71;74;74;74;74;75;74;74;74;77;77;77
грязевая маска для волос sea of spa;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya_maska_dlya_volos_sos.html;3;3;3;3;6;3;3;3;3;4;3;5;3;3;3
грязевая маска для лица;https://da-vita.ru/catalog/gryazevie.html;79;80;81;81;81;85;81;81;20;79;79;79;79;79;81
грязевая маска для лица израиль;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;3;7;4;7;3;7;3;4;3;4;4;4;4
грязевой шампунь dr sea;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/ozdoravlivayushchii_gryazevoi_shampun_s_ekstraktami_krapivi_i_romashki.html;42;34;28;43;47;31;31;34;33;31;31;39;32;30;37
грязевой шампунь мертвого моря;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi_shampun_s_maslom.html;10;10;8;8;9;10;5;5;8;8;7;8;7;7;7
грязевые магнитные маски;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/magnitnaya_gryazevaya_maska_dlya_vseh_tipov_koji.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
грязевые маски для лица в домашних условиях;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязевые маски для лица мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
грязевые маски мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1
грязевые шампуни из израиля;https://da-vita.ru/catalog/ochishchenie-problemnoi-koji-golovi/gryazevoi-shampun-bio-mud-s-maslom-oblepihi-romashkoi-i-aloe-vera.html;7;7;7;7;7;7;7;7;11;8;4;5;7;7;7
грязи мертвого моря купить в санкт петербурге;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;12;12;9;9;14;10;10;16;10;10;9;8;7;7;7
грязи мертвого моря цена;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6
грязь sea of spa;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_naturalnaya_600gr.html;14;13;15;13;15;17;17;18;16;18;15;21;13;14;14
грязь мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;2;2;2;2;3;3;3;2;2;3;3;3;2;2;2
грязь мертвого моря dr sea;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_1500ml.html;10;12;16;5;5;5;5;5;5;6;5;6;5;5;5
грязь мертвого моря sea of spa;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_naturalnaya_600gr.html;12;10;18;10;15;20;15;15;14;17;13;14;13;13;16
грязь мертвого моря для волос;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4
грязь мертвого моря для волос отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря для десен;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_naturalnaya_600gr.html;78;36;39;79;79;80;80;85;83;83;83;86;82;82;81
грязь мертвого моря для лица;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3
грязь мертвого моря для лица польза;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;6;6;7;6;6;6;6;7;7;8;7;7;8;8;8
грязь мертвого моря для суставов;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;9;73;73;73;73;9;19;9;9;13;8;8;7;7;7
грязь мертвого моря купить;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;6;5;7;6;6;7;7;13;6;6;5;5;6;5;10
грязь мертвого моря купить в москве;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;2;2;2;2;2;2;2;2;7;2;2;2;2;4;2
грязь мертвого моря купить в спб;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;9;9;10;8;9;10;10;10;10;10;9;8;8;7;17
грязь мертвого моря от пародонтоза отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря при воспалении десен;-;101;101;101;55;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря применение;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;4;4;4;4;6;4;4;5;5;4;4;4;4;4
грязь мертвого моря применение в домашних условиях;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;5;6;6;6;5;6;8;6;6;6;6;6;6;6
грязь мертвого моря применение для лица;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;6;4;4;4;4;4;4;5;4;4;4;4;3
грязь мертвого моря цена;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;5;6;6;6;7;11;10;11;8;7;6;6;6;6;7
