phrase;rel_page;2018-10-19;2018-10-20;2018-10-21;2018-10-22;2018-10-23;2018-10-24;2018-10-25;2018-10-26;2018-10-27;2018-10-28;2018-10-29;2018-10-30;2018-10-31
arganicare;https://da-vita.ru/catalog/arganicare.html;4;4;4;5;4;4;3;5;3;5;3;3;4
arganicare hair;https://da-vita.ru/catalog/arganicare.html;87;89;85;81;81;88;98;98;10;10;9;7;7
bb крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101
bb крем с эффектом лифтинга;-;101;101;101;101;101;101;101;101;101;27;27;101;101
black pearl косметика;https://da-vita.ru/catalog/kosmetika-black-pearl.html;2;2;2;2;2;1;2;2;2;2;2;1;1
black pearl косметика израиль;https://da-vita.ru/catalog/kosmetika-black-pearl.html;2;2;2;2;2;2;2;2;2;2;2;2;2
black pearl косметика купить;https://da-vita.ru/catalog/kosmetika-black-pearl.html;1;1;1;1;1;1;1;1;1;1;1;1;1
black pearl молочко;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnoe_ochishchayushchee_molochko_dlya_lica.html;2;1;2;3;1;3;3;3;3;2;2;1;1
black pearl тоник;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnii_osvejayushchii_tonik_dlya_lica.html;2;2;2;2;2;2;2;2;2;2;2;2;3
careline израильская косметика;https://da-vita.ru/catalog/careline.html;3;2;3;3;3;2;3;2;2;2;2;1;1
careline израильская косметика интернет магазин;https://da-vita.ru/catalog/careline.html;3;3;2;3;3;3;3;3;3;3;3;2;2
dead sea косметика мертвого моря;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;3;3;3;3;3;3;3;3;3;3;3;3;3
dr sea грязевая маска для волос;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya_maska_dlya_volos_drsea.html;46;51;45;50;53;51;52;51;57;64;62;64;67
dr sea грязевая маска для лица;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/mineralnaya_gryazevaya_maska_s_aloe_vera_i_dunalielloi.html;34;33;32;31;36;33;37;36;44;40;41;28;38
dr sea коллагеновый ночной крем;https://da-vita.ru/catalog/kollagen/kollagenovii-nochnoi-krem.html;5;5;5;6;6;6;6;6;6;8;8;7;8
dr sea косметика купить;https://da-vita.ru/catalog/drsea.html;16;17;15;14;14;16;17;15;14;17;15;13;14
dr sea косметика отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea крем для глаз;https://da-vita.ru/catalog/kremi-s-vitaminom-b/krem_ot_morshchin_vokrug_glaz.html;31;28;33;38;35;35;37;37;36;24;37;13;25
dr sea крем для кожи глаз;https://da-vita.ru/catalog/kremi-dlya-glaz-dr-sea.html;20;21;20;26;24;25;28;24;26;23;23;13;16
dr sea крем для ног;https://da-vita.ru/catalog/kremi-dlya-nog-dr-sea.html;42;42;25;42;43;42;42;40;39;48;49;30;36
dr sea крем от морщин;https://da-vita.ru/catalog/kremi-ot-morshchin-dr-sea.html;40;39;38;36;41;39;45;32;47;48;45;23;48
dr sea крем от морщин вокруг глаз;https://da-vita.ru/catalog/kremi-s-vitaminom-b/krem_ot_morshchin_vokrug_glaz.html;39;29;33;18;38;25;25;27;24;25;23;18;23
dr sea крем от морщин для лица;https://da-vita.ru/catalog/kremi-s-vitaminom-c/krem_dlya_lica_protiv_morshchin_spf_15.html;30;29;27;31;30;26;29;29;36;36;38;32;27
dr sea купить;https://da-vita.ru/catalog/drsea.html;17;13;14;14;14;17;15;17;14;18;19;13;13
dr sea купить в интернет магазине;https://da-vita.ru/catalog/drsea.html;15;16;15;17;17;15;17;16;16;16;17;16;18
dr sea маска;-;101;101;100;95;95;97;101;101;70;70;69;69;101
dr sea маска для лица;https://da-vita.ru/catalog/vitaminnie/otbelivayushchaya_maskapiling_dlya_lica_s_vitaminom_c.html;71;71;71;72;71;71;75;79;74;73;73;71;75
dr sea ночной крем отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea пилинг;https://da-vita.ru/catalog/kosmetika-ot-chernih-tochkek/piling_dlya_lica_bez_soderjaniya_mila_s_vinogradnimi_kostochkami_i_limonom.html;101;101;101;101;101;101;101;101;63;62;62;65;68
dr sea пилинг для лица;https://da-vita.ru/catalog/kosmetika-ot-chernih-tochkek/piling_dlya_lica_bez_soderjaniya_mila_s_vinogradnimi_kostochkami_i_limonom.html;45;44;43;46;45;44;46;44;41;36;48;44;52
dr sea тоник для лица;https://da-vita.ru/catalog/kosmetika-s-kastorovim-maslom/mineralnii_ochishchayushchii_tonik_s_ekstraktami_aloe_vera_i_ogurca.html;34;34;28;35;35;35;38;37;39;32;34;34;20
dr sea укрепляющий и питательный ночной крем;https://da-vita.ru/catalog/kremi-s-vitaminom-c/ukreplyayushchii_i_pitatelnii_nochnoi_krem.html;43;43;43;38;43;32;39;42;46;61;61;59;60
dr sea шампунь цена;-;92;93;84;85;85;84;99;99;38;36;26;41;101
dsm mon platin косметика;https://da-vita.ru/catalog/mon-platin-dsm.html;4;3;3;4;3;4;4;4;5;4;4;5;3
health and beauty крем;https://da-vita.ru/catalog/kremi-health-and-beauty.html;57;44;43;44;49;30;46;43;53;56;56;37;40
health beauty коллаген крем;https://da-vita.ru/catalog/kosmetika-s-maslom-shi/collagen_day_cream.html;6;5;4;4;4;4;4;4;4;4;4;4;3
kedem косметика;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;3;3;3;3;3;3;3;3;3;2;2;2;2
kedem косметика купить;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;1;1;1;2;2;1;2;2;1;1;1;1;1
kedem косметика отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
kreogen израиль косметика;https://da-vita.ru/catalog/kreogen.html;3;93;92;94;94;2;3;2;4;2;4;2;2
kreogen косметика;https://da-vita.ru/catalog/kreogen.html;1;1;1;1;1;1;1;1;1;1;2;1;1
mineralium dead sea косметика;https://da-vita.ru/catalog/mineralium.html;2;2;2;2;2;2;2;2;2;2;2;2;2
mineralium косметика;https://da-vita.ru/catalog/mineralium.html;3;2;3;2;2;2;2;2;2;3;3;2;2
mon platin;-;101;101;101;101;101;101;101;101;101;101;101;101;101
mon platin dsm;https://da-vita.ru/catalog/mon-platin-dsm.html;101;101;101;101;101;101;101;101;91;89;89;101;81
mon platin dsm купить;https://da-vita.ru/catalog/mon-platin-dsm.html;4;4;3;3;4;4;4;4;7;4;9;3;4
mon platin купить;https://da-vita.ru/catalog/mon-platin.html;9;7;6;7;8;9;12;11;10;10;11;7;6
naomi косметика;https://da-vita.ru/catalog/naomi.html;40;40;38;40;38;32;35;34;40;37;38;23;28
naomi косметика мертвого моря;https://da-vita.ru/catalog/naomi.html;18;19;18;22;19;14;15;14;17;19;20;15;21
premier крем для лица;-;101;101;101;101;101;101;101;101;90;94;95;101;101
premier крем израиль;https://da-vita.ru/catalog/premier.html;15;9;10;12;11;13;15;11;11;11;12;5;4
premier серум;https://da-vita.ru/catalog/sivorotki-serumi-premier.html;58;57;51;53;53;52;52;52;54;46;47;41;40
sea of spa крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-sea-of-spa.html;98;100;93;100;100;85;101;101;57;54;54;46;49
sea of spa лосьон;https://da-vita.ru/catalog/losoni-sea-of-spa.html;17;13;14;19;19;26;34;33;28;25;25;39;20
sea of spa маска для лица;https://da-vita.ru/catalog/maski-dlya-lica-sea-of-spa.html;15;14;15;16;18;19;21;19;30;30;30;17;17
sea of spa молочко;https://da-vita.ru/catalog/molochko-sea-of-spa.html;13;10;7;10;8;7;7;8;8;8;9;9;10
sea of spa сыворотка для лица;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/ukreplyayushchii_serum_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;18;16;16;17;15;15;18;18;20;21;21;15;15
sea of spa тоник;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/osvejayushchii_tonik_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;7;6;6;8;7;8;8;6;8;8;8;7;10
sea of spa увлажняющий крем;https://da-vita.ru/catalog/uvlajnyayushchie-kremi-sea-of-spa.html;38;37;37;31;39;38;41;41;42;43;43;40;39
spa pharma dead sea minerals;https://da-vita.ru/catalog/spa-pharma.html;4;3;4;4;4;4;4;4;4;6;6;3;4
spa pharma mineral gel peeling;https://da-vita.ru/catalog/spa-pharma.html;4;4;4;2;4;4;4;4;4;4;4;4;4
spa pharma гель;https://da-vita.ru/catalog/spa-pharma.html;4;3;3;4;3;3;3;3;3;3;3;3;3
spa pharma косметика израиль;https://da-vita.ru/catalog/spa-pharma.html;5;5;5;5;5;6;6;6;6;7;7;5;5
spa pharma купить;https://da-vita.ru/catalog/spa-pharma.html;4;4;4;4;4;4;4;4;4;4;4;4;4
spa pharma лосьон;https://da-vita.ru/catalog/sivorotki-balzami-losoni-s-aloe/loson-dlya-lica-dlya-jirnoi-i-problemnoi-koji_spapharma.html;17;6;10;17;13;14;20;9;19;8;21;6;13
spa pharma маска;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/gryazevaya-maska-dlya-normalnoi-i-jirnoi-koji-lica.html;8;5;7;7;7;10;12;11;10;16;18;7;10
spa pharma масло;https://da-vita.ru/catalog/spa-pharma.html;5;5;3;5;5;6;7;7;5;5;4;5;3
spa pharma шампунь;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi-shampun-dlya-vseh-tipov-volos.html;8;6;4;10;10;11;10;9;6;4;5;7;8
акне причины;-;101;101;101;101;101;101;101;101;101;101;101;101;101
альгинатная маска для лица купить;https://da-vita.ru/catalog/alginatnie.html;101;101;101;101;101;55;56;56;58;57;57;41;73
альгинатная маска для лица купить интернет магазин;https://da-vita.ru/catalog/alginatnie.html;53;49;46;50;48;42;47;45;47;44;44;34;39
альгинатная маска для лица купить цена;-;101;101;101;101;101;60;82;82;101;101;101;101;101
альгинатная маска на сколько наносить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
анти акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастной крем 60;https://da-vita.ru/catalog/antivozrastnie-kremi-60-let.html;13;13;13;13;10;15;10;15;14;8;14;17;14
антивозрастной крем premier;https://da-vita.ru/catalog/antivozrastnaya-kosmetik_premier.html;1;4;2;3;2;3;4;1;2;3;4;1;2
антивозрастной крем для век;-;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастной крем для кожи вокруг глаз купить;https://da-vita.ru/catalog/antivozrastnie-kremi-dlya-glaz.html;17;15;14;16;16;17;20;17;18;19;17;13;11
антивозрастной крем для лица с какого возраста;-;97;99;99;100;91;91;89;88;101;101;101;101;101
антивозрастной крем на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;3;3;4;4;3;3;3;3;4;4;5;5;3
антивозрастной крем после 30 лет купить;https://da-vita.ru/catalog/antivozrastnie-kremi-30-let.html;7;7;7;7;7;7;2;7;3;2;4;3;2
антивозрастной крем после 35 купить;https://da-vita.ru/catalog/antivozrastnie-kremi-35-let.html;2;2;2;2;2;2;3;2;2;2;2;2;2
антивозрастной крем после 40 купить;https://da-vita.ru/catalog/antivozrastnie-kremi-40-let.html;3;3;2;3;1;2;2;2;2;2;2;2;1
антивозрастной крем с какого возраста;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;25;22;25;25;18;24;25;25;26;28;26;19;26
антивозрастной крем с какого возраста можно пользоваться;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;21;21;17;22;21;19;20;21;72;62;62;64;64
антивозрастной тональный крем купить;https://da-vita.ru/catalog/antivozrastnie-tonalnie-kremi.html;28;37;30;40;38;40;39;37;42;40;40;20;10
антивозрастной увлажняющий тональный крем;-;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастные кремы для лица после 60 лет;https://da-vita.ru/catalog/antivozrastnie-kremi-60-let.html;38;38;38;37;37;36;35;34;37;30;30;31;32
антиоксиданты в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;5;5;5;5;5;5;5;5;5;5;5;6;6
антиоксиданты в косметике это;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;4;3;3;3;3;4;3;3;4;4;4;4;4
антиоксиданты что это в косметике;https://da-vita.ru/beauty-blog/antioksidanti-v-kosmetike.html;4;3;3;5;3;4;5;3;5;4;4;5;5
антиоксиданты что это такое простыми словами;-;101;101;101;101;101;101;101;101;101;101;101;101;101
антицеллюлитное масло купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
антицеллюлитные средства купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
ахава израильская косметика;https://da-vita.ru/catalog/ahava.html;12;11;11;11;5;11;12;12;12;12;12;6;10
ахава израильская косметика каталог;https://da-vita.ru/catalog/ahava.html;8;7;7;7;7;7;7;7;7;7;7;7;8
бальзам для губ с алоэ вера;-;101;101;101;101;101;101;101;101;101;101;101;101;101
бальзам кондиционер для вьющихся волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101
бб крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101
безсульфатные шампуни для волос купить;https://da-vita.ru/catalog/bezsul-fatnie-shampuni.html;32;19;32;36;30;32;37;34;34;34;34;20;18
безсульфатные шампуни для волос с кератином;https://da-vita.ru/catalog/bezsulfatnie-shampuni-s-keratinom.html;101;101;101;101;101;101;101;101;36;36;36;25;25
безсульфатные шампуни для волос цена;https://da-vita.ru/catalog/bezsul-fatnie-shampuni.html;29;27;30;31;31;30;34;28;33;28;21;20;19
безсульфатные шампуни для кудрявых волос купить;https://da-vita.ru/catalog/bezsul-fatnie-shampuni-d.html;15;4;8;16;16;16;17;16;15;4;26;4;4
безсульфатные шампуни для окрашенных волос купить;https://da-vita.ru/catalog/bezsulfatnie-shampuni-dlya-okrashennih-volos.html;21;20;21;22;22;21;21;21;22;21;21;16;16
безсульфатные шампуни для сухих волос купить;https://da-vita.ru/catalog/bezsulfatnie-shampuni-dlya-suhih-volos.html;26;20;21;24;24;25;28;25;23;22;12;15;16
безсульфатный шампунь для вьющихся волос;https://da-vita.ru/catalog/bezsul-fatnie-shampuni-d.html;34;30;26;36;34;32;37;34;37;33;35;25;28
благотворный дневной крем от морщин;https://da-vita.ru/catalog/krem-ot-morshchin-dnevnoi.html;70;72;70;75;77;72;79;79;32;30;27;72;75
борьба с акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101
бюджетные крема против пигментных пятен на весну;-;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето для жирной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101
вв крем на лето для комбинированной кожи;-;101;101;101;101;101;101;101;101;101;101;101;101;101
вв лучшие крема на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101
витамин е крем цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101
витаминные маски купить;https://da-vita.ru/catalog/vitaminnie.html;5;4;3;5;5;4;4;4;1;1;1;1;1
влияние соли мертвого моря на кожу лица;https://da-vita.ru/beauty-blog/sol-mertvogo-morya---sekreti-primeneniya.html;3;3;3;3;4;4;4;3;3;2;2;2;2
восстанавливающие маски для рук купить;https://da-vita.ru/catalog/maski-dlya-vosstanovleniya-potreskavsheisya-koji-ruk.html;29;25;24;29;29;26;32;26;32;23;26;22;16
восстанавливающий крем для рук купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
где купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;9;8;5;8;8;5;6;6;10;8;8;7;8
где купить израильскую косметику;https://da-vita.ru/shops/firmennii_magazin_kosmetiki_mertvogo_morya_na_ligovskom_prospekte.html;3;3;3;3;3;3;3;3;3;6;3;4;4
где купить косметику ahava;https://da-vita.ru/catalog/ahava.html;12;9;6;11;9;11;12;11;10;8;10;8;8
где купить соль мертвого моря;https://da-vita.ru/catalog/sol-mertvogo-morya.html;7;7;4;6;6;4;7;5;7;7;7;11;6
где можно купить грязь мертвого моря;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;13;13;14;16;13;11;16;8;8;17;17;10;13
где можно купить крем для лица;https://da-vita.ru/catalog/lico.html;101;101;101;101;101;60;63;60;69;72;70;70;72
гели premier;https://da-vita.ru/catalog/skrabi-dlya-lica/gel%E2%80%93piling-na-osnove-fruktovih-kislot.html;11;11;10;12;11;2;10;3;7;8;8;3;3
гель для глаз с черной икрой купить;https://da-vita.ru/catalog/chernaya-ikra.html;25;23;20;26;26;23;24;31;31;30;31;25;21
гель для душа health beauty;https://da-vita.ru/catalog/dlya_volos_man/shampoo_gel_man.html;18;21;14;21;18;16;84;84;34;33;33;24;32
гель для душа для мужчин купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа для мужчин цена;-;101;101;101;101;101;98;101;101;67;65;64;62;101
гель для душа купить оптом;-;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа мужской цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101
гель для душа от прыщей на теле купить;https://da-vita.ru/catalog/gel-dlya-dusha-ot-prishchei-na-tele.html;4;4;4;4;4;4;4;4;4;2;4;2;3
гель для душа с аргановым маслом;https://da-vita.ru/catalog/geli-s-arganovim-maslom.html;101;101;101;101;101;101;101;101;101;101;101;101;15
гель для душа с аргановым маслом купить;https://da-vita.ru/catalog/geli-s-arganovim-maslom.html;99;98;93;92;93;65;90;90;62;73;58;78;6
гель для душа цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101
гель масло для душа купить;-;101;101;101;101;101;101;101;101;62;101;101;101;101
гель на основе грязи мертвого моря;https://da-vita.ru/catalog/geli-dlya-umivaniya/ochishchayushchii-gel-dlya-licaobogashchennii-naturalnoi-gryazyu-mertvogo-morya.html;41;38;43;47;43;49;52;46;37;34;34;32;31
гель на основе грязи мертвого моря купить;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/milo-na-osnove-gryazi-mertvogo-morya.html;40;27;36;42;39;38;37;32;24;23;25;22;21
гель скраб для душа;-;101;101;101;101;101;101;101;101;101;101;101;101;101
гель скраб для душа купить;https://da-vita.ru/catalog/gel-skrab-dlya-dusha.html;9;6;7;10;6;8;10;9;13;11;11;12;6
гиалуроновая кислота сыворотка купить;-;101;101;101;101;101;101;101;101;94;92;93;101;101
гиалуроновая сыворотка купить;-;64;66;68;72;64;70;72;68;98;97;97;101;101
гиалуроновая сыворотка цена;-;101;101;101;101;101;101;101;101;101;73;74;101;101
грязевая маска ahava;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/ochishchayushchaya-gryazevaya-maska.html;18;12;15;18;17;16;19;16;22;26;26;22;21
грязевая маска sea of spa;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/mineralnaya_gryazevaya_maska_dlya_lica_s_olivkovim_maslom_bio_spa.html;22;21;25;27;27;26;27;26;27;20;28;28;25
грязевая маска для волос;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos.html;55;54;50;54;54;52;55;45;52;63;63;73;68
грязевая маска для волос sea of spa;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya_maska_dlya_volos_sos.html;3;3;3;3;4;4;4;4;5;7;5;4;4
грязевая маска для лица;https://da-vita.ru/catalog/gryazevie.html;86;85;83;82;82;72;81;81;72;78;78;88;69
грязевая маска для лица израиль;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;3;5;5;5;6;7;6;5;5;4;3;4
грязевой шампунь dr sea;https://da-vita.ru/catalog/shampuni-ot-vipadeniya-volos/ozdoravlivayushchii_gryazevoi_shampun_s_ekstraktami_krapivi_i_romashki.html;32;30;42;48;47;46;50;41;38;37;38;27;37
грязевой шампунь мертвого моря;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi_shampun_s_maslom.html;6;7;9;9;10;10;13;10;9;9;9;8;9
грязевые магнитные маски;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/magnitnaya_gryazevaya_maska_dlya_vseh_tipov_koji.html;2;2;2;2;2;2;2;2;2;2;2;2;1
грязевые маски для лица в домашних условиях;-;101;101;101;101;101;101;101;101;101;101;101;101;101
грязевые маски для лица мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;3;3;3;3;3;3;3;3;3;3;3;3;3
грязевые маски мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;1;1;1;2;2;2;2;2;2;2;2;1;1
грязевые шампуни из израиля;https://da-vita.ru/catalog/ochishchenie-problemnoi-koji-golovi/shampun-dlya-koji-golovi-s-proyavleniyami-psoriaza-i-suhosti-clineral-pso.html;9;8;8;9;9;9;8;8;10;6;6;3;3
грязи мертвого моря купить в санкт петербурге;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;10;13;10;14;15;14;14;12;21;20;19;14;19
грязи мертвого моря цена;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;5;5;6;4;6;6;6;7;6;6;6;6
грязь sea of spa;https://da-vita.ru/catalog/gryaz-sea-of-spa.html;18;21;17;19;19;20;23;20;25;26;26;21;25
грязь мертвого моря;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;2;2;2;3;3;3;3;3;3;3;3;2;3
грязь мертвого моря dr sea;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_1500ml.html;14;16;17;19;20;12;19;18;13;18;18;13;13
грязь мертвого моря sea of spa;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz-mertvogo-morya-s-maslom-argany-600gr.html;15;15;16;14;18;13;15;14;13;18;18;14;9
грязь мертвого моря для волос;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;6;6;5;6;6;5;6;6;6;7;6;4;4
грязь мертвого моря для волос отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря для десен;https://da-vita.ru/catalog/gryaz-mertvogo-morya-dlya-oblegcheniya-psoriaza/gryaz_mertvogo_morya_naturalnaya_600gr.html;41;43;32;37;41;43;37;52;84;80;80;55;56
грязь мертвого моря для лица;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;4;4;5;5;5;5;5;5;4;4;4;4
грязь мертвого моря для лица польза;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;10;9;9;9;9;7;9;9;13;11;10;7;8
грязь мертвого моря для суставов;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;6;14;13;15;18;20;21;17;78;75;75;76;76
грязь мертвого моря купить;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;4;6;4;5;6;6;6;6;7;7;7;4;5
грязь мертвого моря купить в москве;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;2;4;2;2;2;2;3;2;3;2;2;2;2
грязь мертвого моря купить в спб;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;13;12;8;16;16;14;12;12;15;15;10;9;10
грязь мертвого моря от пародонтоза отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря при воспалении десен;-;101;101;101;101;101;101;101;101;101;101;101;101;101
грязь мертвого моря применение;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;4;4;4;5;6;6;6;6;5;4;4;4
грязь мертвого моря применение в домашних условиях;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;7;7;7;7;7;7;8;8;7;7;5;5
грязь мертвого моря применение для лица;https://da-vita.ru/beauty-blog/gryaz-mertvogo-morya.html;4;5;4;4;6;6;6;4;6;6;4;4;4
грязь мертвого моря цена;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;6;5;5;5;6;5;7;5;7;8;7;8;6
дезодорант лавилин;-;101;101;101;101;101;101;101;101;101;101;101;101;101
дешевый магазин профессиональной косметики для волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101
дневной крем антивозрастной купить;https://da-vita.ru/catalog/antivozrastnie-kremi.html;2;2;1;1;1;1;1;1;1;18;1;1;1
дневной крем для жирной кожи купить;https://da-vita.ru/catalog/dnevnie-kremi-dlya-jirnoi-koji.html;12;13;13;15;13;13;17;13;12;8;13;11;10
дневной крем для комбинированной кожи купить;https://da-vita.ru/catalog/dnevnie-kremi-dlya-kombinirovannoi-koji.html;15;23;23;28;27;26;26;24;21;20;15;13;20
дневной крем для лета;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;12;12;12;11;12;12;12;12;12;12;11;13;8
дневной крем для нормальной кожи купить;https://da-vita.ru/catalog/dnevnie-kremi.html;6;5;5;5;6;3;7;7;4;4;4;2;4
