phrase;rel_page;2019-01-01;2019-01-02;2019-01-03;2019-01-04;2019-01-05;2019-01-06;2019-01-07;2019-01-08;2019-01-09;2019-01-10;2019-01-11;2019-01-12;2019-01-13;2019-01-14;2019-01-15;2019-01-16;2019-01-17;2019-01-18;2019-01-19;2019-01-20;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18;2019-02-19;2019-02-20;2019-02-21;2019-02-22;2019-02-23;2019-02-24;2019-02-25;2019-02-26;2019-02-27;2019-02-28;2019-03-01;2019-03-02;2019-03-03;2019-03-04;2019-03-05;2019-03-06;2019-03-07;2019-03-08;2019-03-09;2019-03-10;2019-03-11;2019-03-12;2019-03-13;2019-03-14;2019-03-15;2019-03-16;2019-03-17;2019-03-18;2019-03-19;2019-03-20;2019-03-21;2019-03-22;2019-03-23;2019-03-24;2019-03-26;2019-03-27;2019-03-28;2019-03-29;2019-03-30;2019-03-31;2019-04-01;2019-04-02;2019-04-03;2019-04-04;2019-04-05;2019-04-06;2019-04-07;2019-04-08;2019-04-09;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
bb крем на лето;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
bb крем с эффектом лифтинга;https://da-vita.ru/catalog/bb-cc-kremi-s-lifting-effektom.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;24;25;25;24;30;25;26;28;28;25;25;27;22;26;30;26;26;32;25;25;28;28;22;25;22;26;31;30;35;30;32;25;31;33;32;101;101;101;101;101;42;101;101;101;101;101;101;68;101;101;101;101;101;101;101;101;101;101;63;35;33;31;34;32;38;101;101;101;101;49;44;41;101;38;38;43;40;47;42
black pearl косметика;https://da-vita.ru/catalog/kosmetika-black-pearl.html;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;2;3;3;3;3;3;3;2;2;3;2;3;3;4;3;3;3;4;4;3;3;3;3;3;3;3;4;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
black pearl косметика израиль;https://da-vita.ru/catalog/kosmetika-black-pearl.html;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;5;5;4;3;3;3;3;4;4;3;2;3;2;2;4;4;3;3;3;3;4;4;4;5;4;4;4;4;5;5;5;3;5;5;5;3;4;4;4;5
black pearl косметика купить;https://da-vita.ru/catalog/kosmetika-black-pearl.html;3;3;3;3;2;2;2;2;2;3;2;2;2;4;4;2;2;1;1;3;4;4;3;4;3;1;1;3;2;1;1;1;1;1;2;1;1;4;2;4;4;4;4;5;2;2;4;3;2;3;2;5;2;3;2;5;2;4;5;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;3;2;3;3;3;2;2;2;2;2;2;2;2;2
black pearl молочко;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnoe_ochishchayushchee_molochko_dlya_lica.html;8;8;8;8;8;12;8;9;9;8;9;9;8;13;10;12;10;8;7;9;10;10;9;9;9;12;14;7;8;8;7;8;8;8;6;8;6;8;11;8;8;8;8;9;8;7;7;7;4;7;7;18;8;12;8;10;11;11;10;11;8;8;8;6;8;8;8;8;8;8;8;11;9;9;7;10;9;13;10;11;8;8;10;8;9;9;10;9;8;9;12;7;8;11;10;9;7;8;7;8;7;8;9;10
black pearl тоник;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/jemchujnii_osvejayushchii_tonik_dlya_lica.html;3;4;5;5;3;4;3;3;3;3;3;3;2;3;3;3;3;2;2;2;2;2;3;3;2;3;3;4;3;3;4;3;4;4;4;3;3;3;4;4;4;5;6;5;3;4;5;2;3;2;3;5;4;6;5;5;5;5;5;5;6;6;6;5;6;6;6;6;6;5;6;6;6;6;7;7;6;7;7;7;6;7;7;6;5;5;5;5;5;5;6;5;5;5;5;5;5;6;6;6;5;5;5;6
careline израильская косметика;https://da-vita.ru/catalog/careline.html;2;3;3;2;2;3;3;3;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;4;4;4;3;3;4;4;1;4;3;3;2;1;3;4;3;4;3;4;3;3;3;3;3;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;3;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4
careline израильская косметика интернет магазин;https://da-vita.ru/catalog/careline.html;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;6;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;3;3;3;5;5;5;4;3;3;5;5;4;3;2;2;2;2;3;5;4;4;4;4;5;3;5;2;5;3;4;3;4;2;2;4;3;4;4;4;5;4;3;4;4;3;4;4;4;5;4;5;4;4;4;5;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5
dead sea косметика мертвого моря;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;13;7;9;3;3;3;3;3;3;11;8;7;9;10;11;8;7;16;9;9;9;6;7;9;8;20;14;15;16;15;11;3;3;13;20;15;16;18;22;18;18;16;22;22;21;8;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;5;4;3;3;5;5;5;3;3;4;4;5;4;4;3;4;4;3;4;4;5;7;9;8;7;7;4;8;8;7;6;3;7;5;3;4;5;4;4;4;4;5
dr sea грязевая маска для волос;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevaya_maska_dlya_volos_drsea.html;61;59;61;60;59;67;61;61;64;64;65;52;58;61;56;57;66;66;59;67;60;57;65;70;71;67;70;67;70;62;62;64;74;63;62;63;63;59;61;63;63;57;67;68;56;59;62;56;53;54;54;69;63;67;63;52;64;64;67;62;63;56;58;34;53;61;36;49;53;58;55;43;47;58;57;63;65;62;62;61;61;62;61;58;61;68;70;65;65;67;68;70;66;62;72;61;60;61;68;61;65;60;60;69
dr sea грязевая маска для лица;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/mineralnaya_gryazevaya_maska_s_aloe_vera_i_dunalielloi.html;32;33;33;33;32;32;32;31;34;35;38;36;33;39;36;36;36;37;35;40;37;37;40;41;38;38;39;44;41;43;36;36;36;35;33;32;33;38;35;38;35;40;45;48;33;36;34;32;31;33;35;50;38;44;28;37;37;35;38;31;41;38;32;33;31;40;35;39;30;29;35;45;40;36;42;44;44;46;43;42;41;41;42;43;42;42;36;35;37;38;44;42;44;41;43;36;34;41;34;29;40;33;29;34
dr sea коллагеновый ночной крем;https://da-vita.ru/catalog/kollagen/kollagenovii-nochnoi-krem.html;13;11;11;12;11;15;12;11;11;11;14;11;12;8;9;12;10;10;9;7;13;11;14;15;13;11;11;12;14;14;15;14;15;15;17;17;17;13;15;16;15;14;22;19;11;14;13;13;13;12;12;16;12;18;13;17;14;14;17;18;8;12;9;13;8;14;11;11;8;9;9;10;10;21;23;27;26;25;29;29;25;23;26;25;21;22;27;29;33;30;31;32;40;37;40;33;33;35;30;38;34;33;33;34
dr sea косметика купить;https://da-vita.ru/catalog/drsea.html;12;12;14;14;13;14;14;15;16;16;15;14;15;16;12;17;12;12;12;17;18;16;16;17;14;15;16;13;16;14;14;17;13;16;15;13;13;13;16;15;15;14;19;22;13;18;14;13;15;14;14;20;12;16;16;18;17;17;18;17;17;17;17;17;18;13;14;14;14;14;18;19;19;18;18;19;18;19;19;20;18;15;19;13;18;18;17;17;16;18;20;18;21;22;20;18;20;12;20;18;19;16;19;20
dr sea косметика отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea крем для глаз;https://da-vita.ru/catalog/kremi-s-vitaminom-b/krem_ot_morshchin_vokrug_glaz.html;14;12;13;16;12;17;16;12;13;16;11;16;15;21;10;17;17;16;12;17;19;20;19;19;20;13;13;16;15;13;14;15;17;15;14;14;14;14;14;13;12;12;19;32;11;14;11;11;15;11;13;25;13;11;7;11;10;14;16;16;19;16;14;17;13;14;14;15;11;17;14;18;14;15;16;20;20;19;19;19;17;20;24;29;23;17;24;23;30;34;30;27;42;38;30;30;30;36;31;24;29;26;18;34
dr sea крем для кожи глаз;https://da-vita.ru/catalog/kremi-dlya-glaz-dr-sea.html;10;9;9;9;9;10;10;10;10;12;12;12;11;15;11;13;14;11;12;14;12;13;12;14;14;14;14;14;14;13;14;15;15;17;16;16;15;16;17;16;21;15;37;34;18;21;13;11;11;12;9;38;16;21;16;19;18;22;14;22;20;12;21;12;20;16;15;17;13;22;17;21;37;24;21;24;23;24;25;23;21;31;34;31;20;33;21;21;52;34;53;35;45;45;47;43;49;57;36;50;42;57;53;53
dr sea крем для ног;https://da-vita.ru/catalog/kremi-dlya-nog-dr-sea.html;21;21;23;21;19;25;26;26;29;30;29;26;25;33;20;16;20;18;20;17;23;32;32;33;22;45;12;14;12;14;12;15;13;12;39;11;11;6;9;9;7;10;12;13;6;6;7;11;8;13;13;21;11;12;8;9;10;8;8;8;6;6;6;6;6;8;8;8;8;8;6;6;7;8;8;8;8;6;14;7;6;9;8;9;8;8;7;6;6;7;6;6;6;6;6;6;6;6;6;7;8;8;6;7
dr sea крем от морщин;https://da-vita.ru/catalog/kremi-ot-morshchin-dr-sea.html;14;15;18;19;14;22;18;17;17;19;21;24;23;28;25;22;17;18;11;13;15;14;18;21;13;13;18;15;16;15;10;12;11;13;12;12;12;13;13;14;16;15;22;19;9;14;9;9;10;17;12;33;13;20;11;17;20;21;27;21;22;17;21;16;18;21;17;29;18;33;21;31;18;20;20;19;17;23;31;28;22;31;30;19;22;26;25;23;28;44;45;27;33;23;23;18;41;32;32;36;39;33;36;28
dr sea крем от морщин вокруг глаз;https://da-vita.ru/catalog/kremi-s-vitaminom-b/krem_ot_morshchin_vokrug_glaz.html;15;9;13;15;13;15;11;11;11;9;9;9;8;9;8;10;10;10;11;16;17;13;12;14;12;10;10;11;10;12;12;12;13;12;12;11;11;10;18;11;18;10;14;15;11;11;11;11;11;10;10;17;11;10;11;14;15;15;17;15;13;13;13;13;13;11;15;15;12;15;11;12;13;13;13;13;15;13;15;15;16;17;17;15;15;13;16;12;15;18;20;19;21;18;17;11;15;19;18;18;21;19;22;25
dr sea крем от морщин для лица;https://da-vita.ru/catalog/kremi-ot-morshchin-dr-sea.html;19;19;20;19;18;21;21;17;18;22;21;19;18;22;19;16;22;16;16;18;20;22;21;21;18;16;21;18;20;18;15;16;12;19;18;16;16;14;22;18;15;17;22;33;17;18;14;16;15;17;23;30;19;25;16;21;19;20;20;25;23;23;22;21;19;25;23;25;21;24;17;20;20;22;20;23;23;25;24;24;22;28;31;28;30;31;33;32;32;33;36;34;35;36;21;28;21;32;24;23;33;31;30;35
dr sea купить;https://da-vita.ru/catalog/drsea.html;13;13;14;14;14;13;14;15;16;21;16;17;17;19;14;15;15;14;16;18;17;17;17;18;13;12;12;12;12;13;18;17;20;17;17;13;19;13;21;17;17;17;22;19;19;17;22;16;17;23;24;29;27;25;28;26;29;31;29;30;23;23;23;22;22;20;17;20;14;17;18;22;21;23;22;23;22;22;23;23;23;21;23;21;18;22;21;19;19;21;21;20;22;20;22;23;22;23;20;20;21;21;19;17
dr sea купить в интернет магазине;https://da-vita.ru/catalog/drsea.html;13;13;13;14;13;14;15;15;15;15;14;14;15;15;15;14;15;14;16;14;15;16;15;15;20;18;19;20;20;21;22;19;22;20;21;21;20;19;26;21;20;22;27;26;17;17;18;16;17;16;17;28;20;22;21;18;22;21;25;19;24;19;23;18;22;23;20;23;20;23;23;27;25;28;26;26;26;26;25;25;24;22;23;24;22;16;22;21;22;21;23;21;24;24;23;21;22;23;21;20;22;21;20;22
dr sea маска;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea маска для лица;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;88;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;95;101;101;68;66;67;63;64;92;95;96;99;99;100;97;92;93;91;100;99;96;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea ночной крем отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
dr sea пилинг;https://da-vita.ru/catalog/pilingi-dlya-lica-dr-sea.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;53;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;83;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;51;52;44;79;82;79;51;53;48;49;81;101;80;81;83;82;84;82;83;101;83;76;77;78;53;50;57;53;62;48;53;52;51;54;61;52;56;53;63;55;51;58;56;63
dr sea пилинг для лица;https://da-vita.ru/catalog/pilingi-dlya-lica-dr-sea.html;53;53;55;54;51;60;62;58;57;56;44;42;42;47;44;39;36;37;38;38;44;43;44;46;59;44;50;46;44;46;40;40;39;40;41;40;69;42;42;45;42;42;54;52;36;43;45;41;43;44;40;59;42;48;46;50;53;48;61;47;35;36;41;41;47;45;42;46;33;43;43;42;39;38;43;54;46;56;57;52;50;51;55;55;33;48;29;32;31;41;34;46;33;50;46;47;34;32;32;53;38;34;31;35
dr sea тоник для лица;https://da-vita.ru/catalog/kosmetika-s-kastorovim-maslom/mineralnii_ochishchayushchii_tonik_s_ekstraktami_aloe_vera_i_ogurca.html;35;35;35;35;36;35;36;35;36;35;34;34;35;37;70;38;41;35;34;36;37;45;39;38;36;36;39;38;39;38;35;36;35;33;34;38;33;33;34;35;32;35;45;41;32;33;36;36;34;35;38;49;42;42;43;40;42;43;43;43;43;42;44;43;39;40;42;42;35;43;43;40;40;40;45;47;45;46;42;43;47;43;48;47;42;44;41;40;41;42;39;39;35;38;39;40;34;38;36;37;37;38;38;37
dr sea укрепляющий и питательный ночной крем;https://da-vita.ru/catalog/kremi-s-vitaminom-c/ukreplyayushchii_i_pitatelnii_nochnoi_krem.html;40;41;43;41;36;44;42;41;41;41;38;37;22;29;30;22;25;27;24;29;27;32;36;36;40;30;32;31;26;31;30;33;38;33;30;30;31;48;33;36;38;34;44;49;33;36;25;27;24;29;30;46;32;38;35;29;36;32;38;30;31;27;24;21;20;32;25;31;23;28;25;30;24;26;29;34;34;37;40;37;34;26;30;30;30;32;30;26;34;38;28;39;40;48;36;23;28;47;33;33;35;28;30;31
dr sea шампунь цена;https://da-vita.ru/catalog/drsea.html;40;38;38;45;40;43;44;42;42;44;44;45;43;42;42;90;90;42;45;46;46;48;47;48;44;44;45;45;48;42;93;45;64;90;92;95;95;96;101;98;98;99;101;101;101;101;98;99;101;101;101;101;46;53;53;50;52;48;50;52;42;40;44;38;42;43;45;42;41;32;30;32;29;30;32;39;37;42;47;47;39;37;46;45;49;48;46;56;48;47;48;52;46;50;45;62;44;41;39;68;46;42;51;34
