phrase;rel_page;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18
банановые чипсы купить;http://frutoss.ru/shop/cukaty/bananovie-chipsy/;10;11;11;10;11;11;11;11;11;11;11;11;11;12;11;12;12;12;12;13;12;12;9;10;11;10;10;12;10
белая фасоль купить;http://frutoss.ru/shop/semena-bobovye/fasol/;17;15;14;16;17;23;23;25;14;20;18;13;18;21;20;19;21;16;15;23;22;21;19;21;18;18;16;15;14
белые семечки подсолнечника купить;http://frutoss.ru/shop/sladosti/semechka-podsolnechnika-v-iogurte;48;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;99;99;101;99;101;101;100
бобы купить в спб;http://frutoss.ru/shop/semena-bobovye/soy/;45;48;47;47;47;44;44;43;43;35;37;38;38;47;42;40;41;39;41;39;42;36;36;36;35;38;40;38;37
боярышник оптом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
бразильский орех купить;http://frutoss.ru/shop/orehi/brazilskij-oreh/;21;20;12;13;20;19;19;21;20;23;21;16;22;24;24;22;22;23;27;26;25;25;25;26;24;29;21;24;23
бразильский орех купить в спб;http://frutoss.ru/shop/orehi/brazilskij-oreh/;15;15;10;10;9;7;8;10;10;10;9;9;11;12;12;12;14;13;15;15;14;14;17;18;17;10;14;18;12
бразильский орех цена;http://frutoss.ru/shop/orehi/brazilskij-oreh/;24;14;17;17;18;24;26;23;26;29;22;25;29;30;31;29;31;28;29;30;29;32;31;27;31;22;29;26;28
бразильский орех цена за 1 кг;http://frutoss.ru/shop/orehi/brazilskij-oreh/;11;11;8;8;10;15;15;19;15;16;13;15;19;22;23;21;33;27;28;22;16;23;23;13;20;27;21;19;17
булгур;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
веганский магазин;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
виноградное масло купить;http://frutoss.ru/shop/masla/maslo-vinogradnoy-kostochki;42;45;42;42;48;46;47;48;44;42;44;51;48;101;55;52;101;60;53;50;43;53;46;47;55;51;49;47;27
виноградное масло цена;-;101;101;97;97;98;101;101;101;101;101;101;101;101;101;101;101;101;101;100;99;99;90;88;88;89;96;101;101;101
виноградные листья купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
виноградные листья купить в спб;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
вишня вяленая купить;http://frutoss.ru/shop/cukaty/vishnja-vjalenaja/;6;6;7;7;6;11;10;9;8;12;11;10;12;13;11;13;13;13;12;13;10;12;13;13;12;10;14;14;9
восточные сладости и сухофрукты;http://frutoss.ru/;10;10;10;7;6;7;6;5;7;9;6;8;7;8;7;8;9;9;6;8;8;8;8;8;8;10;8;7;7
восточные сладости интернет магазин;http://frutoss.ru/shop/sladosti/;5;5;7;5;8;8;8;7;8;8;5;4;4;6;7;6;8;7;1;4;7;9;5;9;8;6;9;4;9
восточные сладости купить;http://frutoss.ru/shop/sladosti/;6;10;14;8;4;15;16;16;15;16;11;10;10;15;17;16;17;11;6;4;10;3;11;10;11;11;10;4;9
восточные сладости купить в санкт петербурге;http://frutoss.ru/shop/sladosti/;15;16;16;16;15;14;13;13;13;14;11;16;11;12;12;12;16;10;11;10;11;13;13;13;11;11;11;9;8
восточные сладости купить в спб;http://frutoss.ru/shop/sladosti/;17;17;16;16;14;22;23;23;22;24;16;16;17;19;18;20;22;20;16;14;12;13;13;12;13;12;11;11;10
восточные сладости купить оптом;http://frutoss.ru/shop/sladosti/;9;9;9;6;14;17;5;15;14;16;9;10;10;13;15;14;15;14;12;11;11;12;12;6;5;7;9;10;10
восточные сладости купить спб;http://frutoss.ru/shop/sladosti/;23;17;15;15;15;16;24;25;24;22;13;15;16;19;20;19;22;17;13;15;14;14;14;12;12;13;13;11;11
восточные сладости магазин в санкт петербурге;http://frutoss.ru/shop/sladosti/;27;28;26;26;29;34;31;31;32;29;29;28;32;19;34;32;35;27;27;27;27;28;22;27;26;24;26;23;20
восточные сладости опт;http://frutoss.ru/shop/sladosti/;21;23;21;20;25;18;23;18;19;22;17;16;19;20;25;20;22;19;22;21;19;18;19;17;15;18;20;16;20
восточные сладости оптом;http://frutoss.ru/shop/sladosti/;15;27;22;23;28;27;27;22;23;26;21;25;19;26;25;24;27;26;25;26;23;24;24;22;24;27;23;21;25
восточные сладости оптом от производителя;http://frutoss.ru/shop/sladosti/;25;22;22;21;27;32;10;31;30;32;27;26;19;31;33;21;34;30;22;18;22;24;15;25;24;13;13;18;21
восточные сладости оптом спб;http://frutoss.ru/shop/sladosti/;9;9;8;9;10;11;10;10;10;9;9;8;9;13;14;13;14;11;12;12;12;10;9;10;10;10;10;10;9
восточные сладости петербург;http://frutoss.ru/shop/sladosti/;40;39;28;28;36;34;38;37;32;39;34;29;33;29;35;35;36;33;33;33;31;33;33;32;31;27;27;28;24
восточные сладости с доставкой;http://frutoss.ru/shop/sladosti/;5;5;5;5;5;5;5;4;5;5;4;2;3;3;6;4;4;3;3;4;4;3;4;2;1;4;2;2;2
восточные сладости санкт петербург;http://frutoss.ru/shop/sladosti/;27;28;27;26;32;29;35;27;23;38;32;22;31;35;36;36;37;32;30;29;29;29;29;30;28;23;27;25;23
восточные сладости спб;http://frutoss.ru/shop/sladosti/;29;24;32;22;32;34;37;36;35;37;21;27;28;26;33;33;33;31;29;31;29;30;29;19;27;21;24;24;19
восточные сладости спб купить;http://frutoss.ru/shop/sladosti/;23;19;15;16;16;15;21;20;20;18;14;12;12;16;17;16;18;14;13;14;12;14;13;13;12;12;13;12;10
восточные сладости спб магазины;http://frutoss.ru/shop/sladosti/;26;26;26;26;34;26;28;26;35;38;18;33;33;31;36;35;37;30;27;26;27;27;26;22;26;23;27;25;23
восточные специи;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
восточные специи магазин;http://frutoss.ru/shop/specii/;69;69;72;72;67;72;53;53;82;89;71;73;71;72;70;70;70;67;69;76;76;20;24;21;19;58;58;59;20
вяленая груша купить;http://frutoss.ru/shop/cukaty/grusha-vyalenaya;11;11;11;11;10;23;19;20;17;17;11;14;13;18;19;16;19;19;18;18;15;19;10;10;11;20;18;16;12
вяленая клубника купить;http://frutoss.ru/shop/cukaty/klubnika-vjalenaja/;4;4;3;3;3;3;3;3;3;4;3;3;4;4;3;3;3;3;4;3;3;3;3;2;3;3;3;3;3
вяленая клюква купить;http://frutoss.ru/shop/cukaty/kljukva-vjalenaja/;7;10;7;7;7;7;9;9;9;9;9;8;8;8;10;10;10;10;10;10;9;10;11;10;10;8;11;10;8
вяленое манго купить;http://frutoss.ru/shop/cukaty/mango/;12;13;12;11;8;10;13;13;11;14;11;17;14;15;10;14;14;18;16;17;11;15;16;17;14;11;12;11;11
вяленые фрукты купить;http://frutoss.ru/shop/suhofrukty/sushenye-plody-fruktov/;4;8;4;7;8;8;8;11;8;8;8;7;7;11;12;10;12;10;10;16;10;13;12;17;9;7;12;9;5
вяленые фрукты оптом;http://frutoss.ru/shop/suhofrukty/;10;13;11;12;14;19;15;14;15;13;12;12;11;15;12;14;15;16;15;15;14;14;11;14;15;11;14;10;8
вяленые яблоки кольца;http://frutoss.ru/shop/cukaty/yabloko-kolco-vyalenoe;14;7;8;7;7;6;7;4;6;14;4;4;9;13;11;7;10;7;8;8;7;7;10;8;8;5;8;7;9
вяленые яблоки купить;http://frutoss.ru/shop/cukaty/yabloko-kolco-vyalenoe;42;42;44;43;50;49;43;45;31;36;33;33;35;44;43;41;45;42;45;39;39;39;46;43;38;33;29;23;20
вяленый кизил без косточки купить в спб;http://frutoss.ru/shop/cukaty/kizil/;7;7;7;7;14;15;17;16;18;17;15;16;16;17;17;17;17;19;17;17;15;16;17;17;14;19;18;15;12
вяленый кумкват купить;http://frutoss.ru/shop/cukaty/kumkvaty/;8;4;6;8;7;7;7;7;7;9;7;7;6;6;6;5;6;8;8;8;8;8;9;9;8;8;9;8;6
вяленый персик купить;http://frutoss.ru/shop/cukaty/vyalenyi-persik/;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
гвоздика молотая купить в спб;http://frutoss.ru/shop/specii/gvozdika-molotaya;47;45;42;42;49;49;51;52;47;45;42;48;51;51;53;54;55;42;52;53;52;33;55;53;52;51;39;51;44
где купить азерчай;http://frutoss.ru/shop/tea/;10;12;12;12;12;11;12;12;12;13;11;10;11;9;13;12;13;13;12;14;13;14;14;10;11;14;10;12;12
где купить азерчай в спб;http://frutoss.ru/shop/tea/;7;7;6;6;6;6;6;6;6;6;6;6;6;6;8;6;6;6;7;7;7;7;7;7;8;7;7;7;6
где купить амарантовое масло;http://frutoss.ru/shop/masla/maslo-amarantovoe;39;30;33;32;36;38;39;38;36;37;34;35;36;41;46;41;42;33;33;42;42;36;43;44;43;44;29;33;40
где купить анис;http://frutoss.ru/shop/semena-bobovye/anis/;17;16;16;17;18;18;19;20;20;19;17;20;19;26;21;24;26;20;23;25;22;18;20;19;21;18;22;21;23
где купить арахисовое масло;http://frutoss.ru/shop/masla/maslo-arashisa;36;35;34;37;40;44;45;33;45;42;39;40;42;38;45;44;47;42;45;44;44;45;46;46;44;33;45;44;38
где купить в санкт петербурге восточные сладости;http://frutoss.ru/shop/sladosti/;28;26;30;27;30;30;31;28;25;29;26;24;26;25;27;26;28;11;23;18;20;23;23;24;19;18;22;21;19
где купить виноградные листья для долмы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
где купить желатин;http://frutoss.ru/shop/specii/zhelatin;28;28;26;25;23;28;30;29;29;29;28;23;26;24;28;27;29;29;30;31;30;30;30;26;21;31;32;27;22
где купить изюм;http://frutoss.ru/shop/suhofrukty/izjum/;5;4;4;4;5;6;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;6;5;5;5;5
где купить инжир;http://frutoss.ru/shop/suhofrukty/injir/;47;51;57;47;60;50;53;59;59;67;56;57;56;63;63;61;62;62;54;60;61;61;42;59;60;60;56;39;51
где купить кардамон в спб;http://frutoss.ru/shop/specii/smesi-pryanostey/kardamon/;44;46;42;43;41;45;47;43;44;43;39;43;43;46;48;49;48;47;40;49;47;49;51;52;50;49;57;55;45
где купить кокосовую стружку в спб;http://frutoss.ru/shop/specii/kokosovaya-struzhka;16;32;34;18;33;30;31;31;30;26;27;27;26;36;36;37;33;39;45;34;33;19;33;31;26;27;30;29;22
где купить конопляное масло;http://frutoss.ru/shop/masla/maslo-konoplyanoe;39;40;42;45;57;55;56;57;58;56;55;53;38;101;44;58;101;59;44;53;51;50;39;45;45;38;50;45;35
где купить конопляное масло в спб;http://frutoss.ru/shop/masla/;31;31;30;30;48;53;56;56;42;75;19;101;45;49;51;52;37;52;49;58;55;57;62;55;39;20;39;52;46
где купить кунжут в спб;http://frutoss.ru/shop/semena-bobovye/kunzhut/;11;11;11;11;12;12;12;13;12;12;14;16;16;17;18;19;18;16;17;18;16;16;16;16;15;17;18;18;16
где купить кунжутное масло в спб;-;18;101;21;82;81;92;90;99;98;99;100;101;99;93;93;95;95;90;98;101;101;100;99;98;97;94;85;101;101
где купить куркуму в спб;http://frutoss.ru/shop/specii/kurkuma-shafran;34;38;16;32;38;33;34;33;35;30;31;34;35;40;35;36;35;35;34;29;32;31;32;31;32;25;28;32;25
где купить манго в спб;http://frutoss.ru/shop/cukaty/mango/;101;49;50;50;45;47;51;47;44;43;42;42;41;39;42;41;46;47;85;42;43;44;44;44;39;41;44;43;42
где купить масло черного тмина;http://frutoss.ru/shop/masla/maslo-chernogo-tmina;47;33;47;45;46;50;47;46;47;44;50;57;50;57;58;56;53;59;57;59;59;60;63;63;62;58;62;59;37
где купить масло черного тмина в спб;http://frutoss.ru/shop/masla/maslo-chernogo-tmina;53;43;43;43;44;41;45;41;43;43;50;48;47;56;57;55;56;41;57;54;62;56;56;60;56;58;57;53;56
где купить нут;http://frutoss.ru/shop/semena-bobovye/nut/;11;11;11;10;12;12;12;12;12;12;13;14;12;14;15;15;15;15;15;15;15;15;12;12;11;12;12;10;9
где купить облепиховое масло;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;91;101;101;101;101;101;101;101;101
где купить облепиховое масло в спб;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
где купить орехи дешево в спб;http://frutoss.ru/shop/orehi/;13;15;16;15;14;14;14;15;15;15;16;17;18;18;17;17;18;65;18;19;17;19;17;18;18;23;23;16;17
где купить орехи оптом;http://frutoss.ru/shop/orehi/;11;11;11;11;9;9;9;9;10;8;9;3;6;9;9;9;4;10;12;10;13;12;11;12;11;13;13;13;12
где купить пшеницу для проращивания;http://frutoss.ru/shop/semena-bobovye/zlaki/pshenica-dlya-prorashchivaniya;18;19;17;17;22;20;20;22;23;23;22;23;25;26;24;21;22;22;25;24;23;24;20;23;23;19;18;19;18
где купить семена аниса;http://frutoss.ru/shop/semena-bobovye/anis/;14;11;11;11;13;13;14;15;13;16;14;15;16;15;15;15;15;15;12;17;16;16;16;16;20;13;14;16;15
где купить семена льна;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
где купить семена льна в спб;http://frutoss.ru/shop/semena-bobovye/semechki/len/;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;98;101;101;80
где купить семена укропа;http://frutoss.ru/shop/specii/ukrop-semena;27;22;26;26;31;32;30;28;26;31;26;34;33;33;33;32;36;33;28;35;30;27;33;16;15;16;27;26;26
где купить сою в спб;http://frutoss.ru/shop/semena-bobovye/soy/;51;50;49;44;46;47;45;45;39;38;34;36;36;35;42;40;39;39;37;38;38;36;39;39;38;38;33;33;32
где купить специи в спб;http://frutoss.ru/shop/specii/;11;11;11;11;16;16;17;19;17;12;12;16;17;16;18;17;17;16;19;19;19;12;17;18;18;17;16;17;16
где купить сухофрукты в спб;http://frutoss.ru/shop/suhofrukty/;4;4;4;4;5;4;4;3;3;3;3;3;3;1;5;6;6;4;4;4;4;6;5;5;4;5;4;4;3
где купить сушеный розмарин;http://frutoss.ru/shop/specii/smesi-priprav/rozzmarin/;14;12;13;12;12;11;12;12;11;13;23;12;12;14;14;13;14;13;14;14;13;13;16;17;14;10;16;15;13
где купить тыквенное масло в спб;-;101;101;101;101;101;101;101;101;101;101;101;101;101;26;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
где купить хорошие сухофрукты в спб;http://frutoss.ru/shop/suhofrukty/;8;9;9;12;10;9;8;9;9;6;7;7;8;8;8;10;11;11;10;11;10;10;13;11;11;11;6;7;8
где купить чурчхелу;http://frutoss.ru/shop/sladosti/churchhela/;7;7;8;8;6;6;6;6;6;6;7;6;6;7;8;7;8;8;6;6;7;7;6;6;6;5;6;6;6
где купить шиповник;http://frutoss.ru/shop/suhofrukty/shipovnik;26;27;24;23;22;23;23;24;23;24;20;19;19;24;20;24;24;21;20;22;21;22;22;23;22;23;27;21;19
где купить ягоды годжи;http://frutoss.ru/shop/suhofrukty/jagody-godzhi/;14;13;16;13;19;17;17;16;16;17;17;17;18;11;20;19;21;16;14;22;14;23;26;25;21;17;27;27;21
где купить ягоды годжи в спб;http://frutoss.ru/shop/suhofrukty/jagody-godzhi/;23;21;20;21;23;14;17;23;25;20;21;21;22;23;23;19;22;22;23;21;23;21;23;22;22;22;26;25;20
где можно купить семена льна в спб;http://frutoss.ru/shop/semena-bobovye/semechki/len/;81;101;101;101;101;100;98;85;85;87;93;86;101;87;84;84;84;83;79;85;85;35;40;36;38;41;41;35;28
глутамат натрия купить;http://frutoss.ru/shop/specii/pishchevye-dobavki/glutamat-n/;6;3;6;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;9;6;4;4;6
глутамат натрия купить в спб;http://frutoss.ru/shop/specii/pishchevye-dobavki/glutamat-n/;3;4;4;3;4;4;4;5;4;4;4;4;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3
глутамат натрия купить в спб в розницу;http://frutoss.ru/shop/specii/pishchevye-dobavki/glutamat-n/;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5
горчичное масло купить;http://frutoss.ru/shop/masla/maslo-gorchicy;23;23;22;22;29;28;23;28;28;33;24;26;26;31;28;25;26;28;29;31;28;29;34;25;31;31;34;32;31
горчичное масло купить в спб;http://frutoss.ru/shop/masla/;33;34;34;33;37;32;35;37;37;52;51;48;48;37;35;33;35;36;52;57;57;56;48;48;49;59;53;71;55
гранулированный чеснок купить;http://frutoss.ru/shop/specii/chesnok-granulirovannyy;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;33;1
грецкие орехи в скорлупе купить в спб;http://frutoss.ru/shop/orehi/greckij-oreh/gretsky-oreh-v-skorlupe/;43;44;43;45;48;44;47;50;45;44;39;41;42;50;50;45;50;49;47;48;46;46;53;44;50;44;46;45;38
грецкие орехи купить;http://frutoss.ru/shop/orehi/greckij-oreh/;16;31;17;17;27;25;28;19;25;24;24;22;26;30;32;29;29;34;35;33;31;21;29;30;27;31;29;24;24
грецкие орехи купить в спб;http://frutoss.ru/shop/orehi/greckij-oreh/;13;15;13;13;14;13;12;12;12;14;16;13;15;16;16;15;15;17;17;17;17;12;14;14;13;17;15;14;14
грецкие орехи купить спб;http://frutoss.ru/shop/orehi/greckij-oreh/;18;18;14;16;19;15;17;17;16;17;16;16;18;18;18;17;20;18;19;20;18;16;15;15;13;16;16;15;17
грецкие орехи оптом;http://frutoss.ru/shop/orehi/greckij-oreh/;40;41;41;41;49;45;43;45;45;47;46;46;46;49;50;51;52;50;54;52;53;52;52;53;51;53;54;53;50
грецкие орехи спб купить дешево;http://frutoss.ru/shop/orehi/greckij-oreh/;17;16;17;22;16;12;15;14;20;17;16;13;13;14;15;15;16;16;17;18;16;10;13;14;13;17;14;12;12
грецкие орехи цена за 1 кг очищенные;http://frutoss.ru/shop/orehi/greckij-oreh/gretskiy-oreh-ochishenny/;43;18;16;16;18;16;18;20;18;18;26;16;27;30;21;21;22;28;24;27;12;20;22;19;19;15;20;19;14
грецкий орех бабочка;http://frutoss.ru/shop/orehi/greckiy-oreh-babochka;5;5;5;3;4;3;5;6;3;5;5;6;6;6;6;6;6;6;5;5;5;5;5;6;4;4;7;8;5
грецкий орех в скорлупе купить в спб;http://frutoss.ru/shop/orehi/greckij-oreh/gretsky-oreh-v-skorlupe/;58;47;49;58;56;49;50;54;51;51;44;43;52;54;54;54;57;52;49;51;53;50;54;55;51;34;42;50;52
грецкий орех в скорлупе купить оптом;http://frutoss.ru/shop/orehi/greckiy-oreh-v-skorlupe;23;28;24;28;25;20;35;29;30;17;26;19;20;29;31;31;31;32;33;33;31;34;31;25;23;28;23;18;20
грецкий орех в скорлупе чили;http://frutoss.ru/shop/orehi/greckij-oreh/greckij-oreh-v-skorlupe-chili;101;101;101;101;101;101;20;101;101;101;101;101;101;101;101;101;101;88;17;17;14;23;15;17;11;6;18;13;15
грецкий орех в скорлупе чили купить;http://frutoss.ru/shop/orehi/greckij-oreh/greckij-oreh-v-skorlupe-chili;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;32;33;29;31;38;33;17;20;36;34;31
грецкий орех из чили;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;85;83;84;94;90;95;101
грецкий орех купить;http://frutoss.ru/shop/orehi/greckij-oreh/;20;27;23;23;25;22;22;26;27;24;21;21;19;26;25;25;25;12;29;25;25;25;26;25;11;26;28;21;27
